match_id,t1_name,t2_name,t1_win,t1_officialwin_before,t2_officialwin_before,t1_pagerank_before,t2_pagerank_before,t1_playerrank_before,t2_playerrank_before
34756,New York Excelsior,Hangzhou Spark,1,12,7,0.056362218974379555,0.047683661798773216,1803.7490883984372,1605.5132839466085
34757,Shanghai Dragons,Seoul Dynasty,1,18,9,0.10565374825288264,0.08359847254519523,2038.02855007228,1678.1206989524726
34758,Shanghai Dragons,Guangzhou Charge,0,19,13,0.10877101323295885,0.07262462002145689,2058.301044084504,1913.24510359953
34759,New York Excelsior,Guangzhou Charge,0,13,14,0.05702587971565837,0.0681606001913157,1791.7798587141344,1980.4072852599127
34761,New York Excelsior,London Spitfire,1,13,6,0.05802332494347995,0.02456086129005575,1737.071249837992,1582.794451183097
34762,Seoul Dynasty,Hangzhou Spark,0,9,7,0.0645946442192356,0.046101412993898444,1650.6226073204907,1690.8955089464505
34763,Los Angeles Gladiators,Florida Mayhem,0,9,11,0.0416643888652968,0.051153069750261515,1544.3286197876917,1764.6459370832856
34764,Vancouver Titans,Boston Uprising,1,4,2,0.020609482075201257,0.014100818557852744,1310.0600005104982,1130.3239360937553
34765,Vancouver Titans,Atlanta Reign,1,5,8,0.01874768183970297,0.028300158197514785,1310.0600005104982,1516.2668120709811
34766,Los Angeles Valiant,Florida Mayhem,1,9,12,0.05028356915408751,0.0516793813811056,1601.8735567733474,1748.3121083706976
34767,Toronto Defiant,San Francisco Shock,0,8,17,0.029029590114929695,0.0886267747169532,1434.0709313298232,2029.7218351394133
34768,Seoul Dynasty,London Spitfire,1,9,6,0.06392595839444394,0.024919035089977688,1685.8263307727534,1474.0917314801648
34769,San Francisco Shock,Philadelphia Fusion,0,18,17,0.08535885064947624,0.07584853642434486,2014.7336442982287,2166.8224770319066
34770,Los Angeles Gladiators,Boston Uprising,1,9,2,0.04688245758997503,0.014500328024643648,1564.8805253666505,1148.5638542076038
34771,Vancouver Titans,Dallas Fuel,0,6,7,0.019262415111965775,0.02229796295878978,1234.6618975855374,1486.434017918178
34772,Paris Eternal,Atlanta Reign,1,15,8,0.08464386326146722,0.02957156012827468,1934.7533336548672,1595.9557874777674
34773,Seoul Dynasty,New York Excelsior,1,10,14,0.06107812982843312,0.059765619579941434,1665.7565739782701,1676.6437475690598
34774,Shanghai Dragons,London Spitfire,1,19,6,0.09558887312476701,0.024979207805197513,2043.1489933292307,1498.8233423840268
34775,Los Angeles Gladiators,Dallas Fuel,1,10,8,0.04624585499545904,0.022333026256224697,1549.4258670732193,1466.8336396156117
34776,Vancouver Titans,Florida Mayhem,0,6,12,0.01936461824442532,0.0505667496060456,1248.8961847187272,1790.557902407233
34777,Seoul Dynasty,London Spitfire,1,11,6,0.059782231023936164,0.02497226988322414,1610.808342848831,1478.6815710338124
34778,Philadelphia Fusion,Los Angeles Valiant,1,18,10,0.06783508788712936,0.05519349452183242,2137.9714892562592,1572.7962144833145
34779,Los Angeles Gladiators,Florida Mayhem,0,11,13,0.043882684289554746,0.049893447509865504,1488.8825385197579,1751.7674483455964
34780,Dallas Fuel,Atlanta Reign,0,8,8,0.023460260867819223,0.030008342791520412,1479.499436339194,1635.2831214518521
34781,San Francisco Shock,Houston Outlaws,1,18,7,0.07530610854818628,0.03393022648182918,1975.18635608503,1444.652792072037
34782,Vancouver Titans,Toronto Defiant,0,6,8,0.020261823438445733,0.03239651656404488,1225.140880330863,1472.752578455288
34783,Washington Justice,Paris Eternal,0,5,16,0.019420157244860875,0.08519696590557853,1375.5204278078654,1939.5842737446376
34791,Shanghai Dragons,New York Excelsior,1,20,14,0.09613579638259098,0.05886709923543859,2092.2953084421533,1775.2156425565643
34792,London Spitfire,Hangzhou Spark,0,6,8,0.02662903591777035,0.044087169095465534,1542.0168561190553,1606.0672826919624
34793,Seoul Dynasty,Guangzhou Charge,0,12,15,0.06340062300061663,0.08822191464725174,1570.7015014546762,1961.8994019716984
